Station,Local authority
East Ham,Newham
Bow Church,Tower Hamlets
Chesham,Chiltern
FIELD WAY TRAM,Hillingdon
Kingsbury,Brent
Watford High Street,Watford
Knightsbridge,Kensington and Chelsea
WOODSIDE TRAM,Croydon
Baker Street,City of Westminster
Westferry,Tower Hamlets
Stamford Hill,Hackney
Finchley Rd & Frognal,Camden
Edgware Road B,City of Westminster
Clapham Junction,Wandsworth
Edgware,City of Westminster
Epping,Epping Forest
Park Royal,Ealing
Drayton Pk,Islington
Pudding Mill Lane,Newham
Norbury,Croydon
Aldgate East,Tower Hamlets
Hanger Lane,Ealing
Harringay,Haringey
Stepney Green,Tower Hamlets
Royal Oak,City of Westminster
West India Quay,Tower Hamlets
South Acton,Ealing
Romford,Havering
Arnos Grove,Enfield
Peckham Rye,Southwark
Willesden Junction,Brent
Willesden Green,Brent
North Acton,Ealing
Morden,Merton
West Drayton,Hillingdon
Addington Village TRAM,Croydon
Sudbury & Harrow Rd,Brent
ELMERS END TRAM,Bromley
Woodside Park,Barnet
Manor House,Hackney
West Hampstead,Camden
Hyde Park Corner,City of Westminster
Woodford,Redbridge
New Addington TRAM,Croydon
AMPERE WAY TRAM,Croydon
Blackfriars,City of London
West Ealing,Ealing
South Quay,Tower Hamlets
Moor Park,Three Rivers
Angel,Islington
Wembley Central,Brent
Stonebridge Park,Brent
Northwood,Hillingdon
Southgate,Enfield
South Croydon,Croydon
Northfields,Ealing
Woolwich Arsenal DLR,Greenwich
Canonbury,Islington
Oxford Circus,City of Westminster
Clapton,Hackney
Upminster Bridge,Havering
Bermondsey,Southwark
Canons Park,Harrow
Rickmansworth,Three Rivers
Hatton Cross,Hillingdon
St Pauls,City of London
Walthamstow Queens Road,Waltham Forest
Hackney Downs,Hackney
Greenford,Ealing
Euston,Camden
Gallions Reach,Newham
Heron Quays,Tower Hamlets
Oakwood,Enfield
Wallington,Sutton
Wanstead Park,Newham
Dalston Kingsland,Hackney
Ravenscourt Park,Hammersmith and Fulham
Poplar,Tower Hamlets
Oval,Lambeth
Sutton Surrey,Sutton
Bethnal Green,Tower Hamlets
South Woodford,Redbridge
London Bridge,Southwark
Tulse Hill,Lambeth
Clapham Common,Lambeth
Ilford,Redbridge
Leicester Square,City of Westminster
West Ham,Newham
Barking,Barking and Dagenham
Whitechapel,Tower Hamlets
Kew Gardens,Richmond
Brixton,Lambeth
