Stop_Code_LBSL,Stop_Name,Location_Easting,Location_Northing,Point_Letter,Road_Name,Borough,Borough_ID,Suggested_Locality,Locality_ID
26601,Abbey Wood Road,547362,178860,E,Knee Hill,Greenwich,6,Abbey Wood,263
26602,Greening Street,547150,178737,,Mcleod Road,Greenwich,6,Abbey Wood,263
26603,Greening Street,547092,178698,,Mcleod Road,Greenwich,6,Abbey Wood,263
26604,Mcleod Road / Bostall Lane,546900,178668,,Mcleod Road,Greenwich,6,Abbey Wood,263
26605,Mcleod Road / Bostall Lane,546808,178620,,Mcleod Road,Greenwich,6,Abbey Wood,263
26606,Bostall Gardens,546684,178596,,Mcleod Road,Greenwich,6,Abbey Wood,263
26607,Bostall Gardens,546620,178569,,Mcleod Road,Greenwich,6,Abbey Wood,263
26608,Cassilda Road,546410,178519,,Basildon Road,Greenwich,6,Abbey Wood,263
26609,Cassilda Road,546417,178498,,Basildon Road,Greenwich,6,Abbey Wood,263
29363,Eynsham Drive / Blithdale Road,546438,178841,,Eynsham Drive,Greenwich,6,Abbey Wood,263
29364,Eynsham Drive / Blithdale Road,546448,178827,,Eynsham Drive,Greenwich,6,Abbey Wood,263
33040,Harrow Manorway / Yarnton Way,547347,179498,B,Harrow Manor Way,Bexley,18,Abbey Wood,263
33041,Overton Road,547358,179302,BA,Harrow Manor Way,Bexley,18,Abbey Wood,263
33045,Harrow Manorway / Lensbury Way,547341,179416,A,Harrow Manor Way,Greenwich,6,Abbey Wood,263
34612,Hartslock Drive,547816,179628,,Yarnton Way,Bexley,18,Abbey Wood,263
34815,Limestone Walk,547884,179651,,Yarnton Way,Bexley,18,Abbey Wood,263
34816,Limestone Walk,547939,179634,,Yarnton Way,Bexley,18,Abbey Wood,263
34817,The Business Academy,548222,179547,,Yarnton Way,Bexley,18,Abbey Wood,263
34818,The Business Academy,548176,179549,,Yarnton Way,Bexley,18,Abbey Wood,263
35309,Harrow Manorway / Abbey Wood Station #,547430,179022,D,Harrow Manor Way,Bexley,18,Abbey Wood,263
BP288,Woodhurst Road,546258,178750,,Blithdale Road,Greenwich,6,Abbey Wood,263
BP289,Brookdene Road,546087,178737,WA,Blithdale Road,Greenwich,6,Abbey Wood,263
BP328,Brookdene Road,546041,178744,M,Blithdale Road,Greenwich,6,Abbey Wood,263
BP356,Woodhurst Road,546284,178689,,Woodhurst Road,Greenwich,6,Abbey Wood,263
BP371,Sedgemere Road,547401,179242,P,Sedgemere Road,Bexley,18,Abbey Wood,263
BP372,Overton Road,547379,179281,N,Overton Road,Bexley,18,Abbey Wood,263
BP374,Lanridge Road,547784,179103,,Alsike Road,Bexley,18,Abbey Wood,263
BP375,Buckwheat Court,547956,179115,,Alsike Road,Bexley,18,Abbey Wood,263
BP376,Buckwheat Court,547963,179107,,Alsike Road,Bexley,18,Abbey Wood,263
BP377,Lanridge Road,547728,179086,,Alsike Road,Bexley,18,Abbey Wood,263
BP5401,Parkway,548292,179409,,Alsike Road,Bexley,18,Abbey Wood,263
BP5402,Parkway,548274,179357,,Alsike Road,Bexley,18,Abbey Wood,263
TS0014,Abbey Wood Station,547384,179050,,Harrow Manor Way,Bexley,18,Abbey Wood,263
1597,Bromyard Avenue,521384,180098,VT,The Vale,Ealing,27,Acton,288
1598,Bromyard Avenue,521453,180082,VL,The Vale,Ealing,27,Acton,288
2036,Denehurst Gardens,519648,180240,B,Uxbridge Road,Ealing,27,Acton,288
2037,Acton Fire Station,519685,180172,Q,Gunnersbury Lane,Ealing,27,Acton,288
2038,Steyne Road,519887,180197,C,Acton High Street,Ealing,27,Acton,288
2185,East Acton Lane,520993,180064,VR,The Vale,Ealing,27,Acton,288
2186,East Acton Lane,521125,180063,VN,The Vale,Ealing,27,Acton,288
3033,Second Avenue,521651,180102,VU,The Vale,Ealing,27,Acton,288
3034,Third Avenue,521632,180084,VK,The Vale,Ealing,27,Acton,288
3035,Larden Road,521244,180086,VS,The Vale,Ealing,27,Acton,288
3036,Larden Road,521255,180073,VM,The Vale,Ealing,27,Acton,288
3039,Acton Park,520818,180052,VP,The Vale,Ealing,27,Acton,288
3040,Acton Park,520788,180037,VQ,The Vale,Ealing,27,Acton,288
3041,Acton Central Station #,520658,180055,H,The Vale,Ealing,27,Acton,288
3042,Acton Central Station #,520576,180044,J,The Vale,Ealing,27,Acton,288
3043,Acton Old Town Hall,520353,180069,F,Acton High Street,Ealing,27,Acton,288
3044,Acton Old Town Hall,520238,180061,G,Acton High Street,Ealing,27,Acton,288
11514,Acton Park / Greenview Close,521054,180131,EW,East Acton Lane,Ealing,27,Acton,288
11515,Acton Park / Greenview Close,521071,180115,EY,East Acton Lane,Ealing,27,Acton,288
20701,Acacia Road,520159,180836,,Horn Lane,Ealing,27,Acton,288
20702,Acacia Road,520145,180766,,Horn Lane,Ealing,27,Acton,288
27522,Creswick Road,520109,180686,,Horn Lane,Ealing,27,Acton,288
27523,Creswick Road,520095,180576,,Horn Lane,Ealing,27,Acton,288
27524,Faraday Road,520221,180949,,Horn Lane,Ealing,27,Acton,288
27525,Faraday Road,520231,181004,,Horn Lane,Ealing,27,Acton,288
34178,Denehurst Gardens,519631,180227,A,Uxbridge Road,Ealing,27,Acton,288
BP1808,Goldsmith Close,520994,180455,EZ,East Acton Lane,Ealing,27,Acton,288
CW63,Rosemont Road,519954,180349,N,Steyne Road,Ealing,27,Acton,288
CW64,Rosemont Road,519955,180375,O,Steyne Road,Ealing,27,Acton,288
R0461,Acton Market Place,520033,180339,M,Horn Lane,Ealing,27,Acton,288
R0742,King Street,519998,180152,D,Acton High Street,Ealing,27,Acton,288
19801,Wolsey Crescent,538059,162652,T,Montacute Road,Croydon,20,Addington,409
19802,Grenville Road,538182,162456,U,Montacute Road,Croydon,20,Addington,409
20151,Fieldway Tram Stop >T<,537741,163086,FA,Lodge Lane,Croydon,20,Addington,409
25588,Salcot Crescent,538235,162273,E,Salcot Crescent,Croydon,20,Addington,409
25754,Central Parade,538431,161988,K,Central Parade,Croydon,20,Addington,409
25755,St Edward'S Church,538559,161960,H,Arnhem Drive,Croydon,20,Addington,409
