Station,Local authority,connectivity
Tufnell Park,Islington,1.0155246643675493
Covent Garden,City of Westminster,1.0319316453545486
Embankment,City of Westminster,1.0471399275073319
Acton Town,Ealing,1.0121845330066472
Beckton,Newham,1.0023105041080562
Finchley Central,Barnet,1.0180813187378774
Devons Road,Tower Hamlets,1.0013521759642408
Bayswater,City of Westminster,1.0083476291028082
Marylebone,City of Westminster,1.0187004523434584
Mudchute,Tower Hamlets,1.0041306885813106
Stockwell,Lambeth,1.0236130661663907
Clapham South,Wandsworth,1.0349132260002907
Green Park,City of Westminster,1.0546934762276694
Royal Oak,City of Westminster,1.0051597981334681
Southall,Ealing,1.0018318014419032
Ickenham,Hillingdon,1.002962973877569
Hackney Wick,Hackney,1.0014927891156553
Edgware Road M,City of Westminster,1.0181234966051562
Chalk Farm,Camden,1.0194355431174467
Royal Victoria,Newham,1.0038898787843427
London City Airport,Newham,1.0067571618162212
Oval,Lambeth,1.0182363563591044
Purley,Croydon,1.0003470206366254
West Drayton,Hillingdon,1.0009359547990682
Beckton Park,Newham,1.00032045130758
Wallington,Sutton,1.0002837943042489
Baker Street,City of Westminster,1.0722639549014341
Peckham Rye,Southwark,1.000237165988529
Dollis Hill,Brent,1.0066917499796206
Kentish Town West,Camden,1.0012164585933008
Wood Green,Haringey,1.0286041458479105
West Brompton,Kensington and Chelsea,1.0086781011214283
Piccadilly Circus,City of Westminster,1.0673523588618898
Latimer Road,Kensington and Chelsea,1.0058800999114859
North Harrow,Harrow,1.0062818243878595
North Greenwich,Greenwich,1.03131619282579
Hounslow East,Hounslow,1.0089541177852377
Queensway,City of Westminster,1.0291440402344678
Wimbledon,Merton,1.0354840765692492
Wimbledon Park,Merton,1.0065630887096702
Sudbury Hill Harrow,Harrow,1.000180666767927
Honor Oak Park,Lewisham,1.0000504844771139
South Acton,Ealing,1.0006639878181471
Prince Regent,Newham,1.0010723098171632
Colliers Wood,Merton,1.0189939707726108
Loughton,Epping Forest,1.0191764569128685
White City,Hammersmith and Fulham,1.0207350323442663
Eastcote,Hillingdon,1.0080531562040402
Morden,Merton,1.024208982424505
Woodside Park,Barnet,1.0064193430772914
Goodge Street,Camden,1.015770220214395
Leytonstone High Rd,Waltham Forest,1.0003878212920696
Hornchurch,Havering,1.0116179158539884
Snaresbrook,Redbridge,1.016470912475694
Hatton Cross,Hillingdon,1.0035784703165282
Totteridge,Barnet,1.0063423963791012
New Cross,Lewisham,1.0000056112037656
Norwood Junction SR,Croydon,1.000182370683886
Harrow On The Hill,Harrow,1.0283478072602175
Sutton Surrey,Sutton,1.0012698502982131
Great Portland St,City of Westminster,1.0311588975640131
Bow Road,Tower Hamlets,1.0202690055651495
Westminster,City of Westminster,1.0322259594947367
Kilburn High Road,Camden,1.0009450539865765
Camden Town,Camden,1.0392984373899918
Swiss Cottage,Camden,1.0156479301074237
North Acton,Ealing,1.0142682185071217
Barbican,City of London,1.1992019113254038
Temple,City of Westminster,1.0216193640428173
Bermondsey,Southwark,1.0115960790882963
Drayton Green,Ealing,1.0001449731875245
West Kensington,Hammersmith and Fulham,1.0169581575763487
Tooting Broadway,Wandsworth,1.0330326855488499
South Ealing,Ealing,1.0093726767822666
Vauxhall,Lambeth,1.0265724074432054
Northwood Hills,Hillingdon,1.0051443583779245
Barons Court,Hammersmith and Fulham,1.0224930744089333
East Putney,Wandsworth,1.0164648358035429
Cannon Street,City of London,1.0917593687023097
Wanstead Park,Newham,1.000502104139683
Elm Park,Havering,1.0134237680933298
Boston Manor,Ealing,1.0035496840414155
Clapham Junction,Wandsworth,1.0173854307405366
King George V,Newham,1.0014125397386566
Shepherds Bush Market,Hammersmith and Fulham,1.0075522416910792
Liverpool Street,City of London,2.1616181506732755
West Croydon,Croydon,1.0005156765784733
Notting Hill Gate,Kensington and Chelsea,1.071464326700438
Balham,Wandsworth,1.0403533885190746
Harringay,Haringey,1.0000020015612177
Holborn,Camden,1.094051441952177
Hammersmith M,Hammersmith and Fulham,1.018113490325317
Knightsbridge,Kensington and Chelsea,1.0349218310734138
Streatham,Lambeth,1.0001980600452047
Bethnal Green,Tower Hamlets,1.0485614248687951
Chorleywood,Three Rivers,1.0052328279740501
Island Gardens,Tower Hamlets,1.004432807731689
Tower Hill,Tower Hamlets,1.0351034174304148
Farringdon,Islington,1.0618580724333422
Upper Holloway,Islington,1.0007122011532625
Thornton Heath,Croydon,1.0005184519364976
Gunnersbury,Hounslow,1.0090227173373634
Canary Wharf,Tower Hamlets,1.0801529677999357
Fairlop,Redbridge,1.0050510219047466
Pontoon Dock,Newham,1.0016706201828067
Leyton Midland Road,Waltham Forest,1.000689331920338
Stanmore,Harrow,1.0083147373858727
Sudbury & Harrow Rd,Brent,1.0000220077735937
Victoria,City of Westminster,1.1439339622695037
Holland Park,Kensington and Chelsea,1.020029859785826
Streatham Common,Lambeth,1.0007791477401669
Marble Arch,City of Westminster,1.0494001347660449
Custom House DLR,Newham,1.0020467645636697
Kenton,Brent,1.003139049950756
Dagenham East,Barking and Dagenham,1.0081527805615909
Battersea Park,Wandsworth,1.000122356130519
South Kensington,Kensington and Chelsea,1.0756226478710704
Old Street,Islington,1.0367717522453463
Manor House,Hackney,1.021201576187512
Stonebridge Park,Brent,1.0049864403430298
West Norwood,Lambeth,1.0002860622079752
Canada Water,Southwark,1.0247002203362832
Highbury,Islington,1.032181038302207
Wood Lane,Hammersmith and Fulham,1.004349957576768
Upton Park,Newham,1.0291530456317048
Ealing Broadway,Ealing,1.0581587302650615
Bow Church,Tower Hamlets,1.001818655870015
Walthamstow Central,Waltham Forest,1.0336599429695539
Sudbury Hill,Ealing,1.0051089200991892
Royal Albert,City of Westminster,1.0013628873277962
Gospel Oak,Camden,1.0021724278243151
Dalston Kingsland,Hackney,1.005328737701
Watford Met,Watford,1.0067111167171523
Woodgrange Park,Newham,1.0003299005806032
Theydon Bois,Epping Forest,1.0067592139514914
Paddington,City of Westminster,1.0745033340483046
