Init_station,Init_time,Time,Value,Total
0.0,3.0,88.5,451889.24148300185,4591581.109630243
0.0,99.0,88.5,451451.5694479487,4591371.111656719
0.0,123.0,88.5,451509.188652875,4591391.173562648
1.0,3.0,95.54166666666667,447837.22996833734,4588648.871399239
1.0,99.0,95.58333333333333,447733.66027128743,4588568.151928208
1.0,123.0,95.70833333333333,447666.92862789927,4588537.358341202
2.0,3.0,88.5,455433.43281139596,4593063.920749381
2.0,99.0,88.5,454980.6891598315,4592881.109292838
2.0,123.0,88.5,454838.92912625254,4592846.81258959
3.0,3.0,88.5,455314.01764347975,4593152.851060589
3.0,99.0,88.5,454816.618962278,4592951.1247681305
3.0,123.0,88.5,454739.08207296487,4592934.58834924
4.0,3.0,88.5,456206.16305839375,4593409.484805068
4.0,99.0,88.5,455899.45466125687,4593263.733275428
4.0,123.0,88.5,455918.243921706,4593262.845889205
5.0,3.0,88.54166666666667,449838.3989848702,4590807.8787496155
5.0,99.0,88.54166666666667,449468.18931239017,4590571.6684945095
5.0,123.0,88.58333333333333,449165.9790484217,4590464.361613426
6.0,3.0,88.5,453499.0734108506,4592376.950415724
6.0,99.0,88.5,453157.9398324558,4592227.90617677
6.0,123.0,88.5,453233.27687263954,4592265.762483159
7.0,3.0,88.70833333333333,449009.5065943062,4589775.55724029
7.0,99.0,88.70833333333333,448416.695278574,4589422.846553946
7.0,123.0,88.70833333333333,448399.43649619445,4589429.466189806
8.0,3.0,88.5,455633.6007579036,4593232.209067943
8.0,99.0,88.5,455344.8366573573,4593098.4421300255
8.0,123.0,88.5,455304.3399941667,4593093.832272881
9.0,3.0,88.5,455557.13858639274,4593172.5840382
9.0,99.0,88.5,455288.1039668185,4593046.280455226
9.0,123.0,88.5,455098.4745431641,4593003.695607444
10.0,3.0,88.54166666666667,450748.32914817537,4591256.026519675
10.0,99.0,88.54166666666667,450399.37698695925,4591083.639689647
10.0,123.0,88.54166666666667,450360.54199143883,4591072.535529069
11.0,3.0,88.5,455099.8493392239,4593027.116633801
11.0,99.0,88.5,455014.0544139656,4592974.315484013
11.0,123.0,88.5,454833.01274314406,4592935.371407822
12.0,3.0,88.5,455576.86836780654,4593288.933326509
12.0,99.0,88.5,455090.0002029281,4593067.055486979
12.0,123.0,88.5,455392.1923682246,4593185.463354979
13.0,3.0,88.58333333333333,465178.62458782416,4594814.833976714
13.0,99.0,88.58333333333333,464292.490408374,4594602.7058569975
13.0,123.0,88.625,463975.3813920511,4594569.773693014
14.0,3.0,88.5,455664.23364345153,4593269.125250007
14.0,99.0,88.5,455055.06438912905,4593038.239447116
14.0,123.0,88.5,455288.3069796037,4593148.533693266
15.0,3.0,88.5,455662.78825806384,4593277.415944401
15.0,99.0,88.5,455316.8559356106,4593142.2100098785
15.0,123.0,88.5,454949.2344708428,4593007.366687788
16.0,3.0,88.41666666666667,455575.0734991408,4593366.804093011
16.0,99.0,88.41666666666667,455274.97230357566,4593243.09618603
16.0,123.0,88.41666666666667,455410.0676340937,4593284.8649654575
